No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram
1,@delliananda,kaka tidur pagi gaboleh capek,Non-bullying,14 Oktober 2019,@isyanasarasvati
2,@fenninbl,makan nasi padang begini badan,Non-bullying,14 Oktober 2019,@isyanasarasvati
3,@abdurahmanshq,aku suka dia selalu cukur jembut sebelum manggung,Bullying,14 Oktober 2019,@isyanasarasvati
4,@najla.yoo,isyana aku fans banget sama isyanaaku paling suka lagu isyana lagu tetap dalam jiwa,Non-bullying,14 Oktober 2019,@isyanasarasvati
5,@dessy_______,manusia apa bidadari cantik terus,Non-bullying,14 Oktober 2019,@isyanasarasvati
6,@e.fril,kinantii isy ubah baju nakal,Bullying,14 Oktober 2019,@isyanasarasvati
7,@bahasa.bayi.planet,gemes isy tango lapis lapis,Non-bullying,16 September 2019,@isyanasarasvati
8,@khanayarudinita,jelek anak padahal ibu ayah cakep,Bullying,22 Juni 2019,@tasyakamila
9,@reniaulia225,anak tua muka tasya,Bullying,22 Juni 2019,@tasyakamila
10,@nurjanah.hani,muka anak tua banget gk gemes gk ada lucu2,Bullying,22 Juni 2019,@tasyakamila
11,@rizalandriawanp,muka muka kolot bu muka bayi lucu,Bullying,6 Juni 2019,@randibachtiar
12,@yudharamm,gila orang jomblo jadi psikolog ga laku jadi seperti,Bullying,24 Desember 2020,@lutfiagizal
13,@mubarakbasslom,lo sinting tingkat dewa,Bullying,24 Desember 2020,@lutfiagizal
14,@erma_09,lutfi sete putus dgn salsa seperti orang stress,Bullying,24 Desember 2020,@lutfiagizal
15,@rurrizki_maulana,anak tolol mulai aktif bund,Bullying,28 Oktober 2020,@lufiagizal
16,@lala.laxii,bisa mati ga gedeg gua liat anjim,Bullying,8 Desember 2020,@lutfiagizal
17,@menisa6634,lutfi asu  sok asik lo anjing,Bullying,8 Desember 2020,@lutfiagizal
18,@farsyahl_,kontol antem ayo bngst,Bullying,6 Desember 2020,@lutfiagizal
19,@lennyliando,ibu kamu lakor hamil luar nikah pantes anak gini modelan,Bullying,16 Juni 2020,@listychanpokemon
20,@tatianayaaaa,anak pinter mak kelempeng asa baby tinggi azka lebih mama,Bullying,25 Oktober 2020,@kalinaocktarany
21,@ferlista234,anak cerdas terbentuk dr pola asuh pola dik ortu cerdas pula pada sara sesimple,Non-bullying,25 Oktober 2020,@kalinaocktarany
22,@sekiya.sat,setengah iri setengah jadi motivasi,Non-bullying,25 Oktober 2020,@kalinaocktarany
23,@emi_muslikah,ancur hidup sama dia sumpah,Bullying,15 November 2020,@kalinaocktarany
24,@tetikasmy7615,serem banget muka lo l ayam potong rah banget,Bullying,27 Desember 2020,@rosameldianti_
